"person","text","word.num","dc","sf","wes","pol","rejk","lk","azx","mmm"
"Sampson","Gregory,",1,0,0,0,0,0,0,0,0
"Sampson","o",2,0,0,0,0,0,0,0,0
"Sampson","my",3,0,0,0,0,0,0,0,0
"Sampson","word,",4,0,0,0,0,0,0,0,0
"Sampson","we'll",5,0,0,0,0,0,0,0,0
"Sampson","not",6,0,0,0,0,0,0,0,0
"Sampson","carry",7,0,0,0,0,0,0,0,0
"Sampson","coals.",8,0,0,0,0,0,0,0,0
"Gregory","No,",9,0,0,0,0,0,0,0,0
"Gregory","for",10,0,0,0,0,0,0,0,0
"Gregory","then",11,0,0,0,0,0,0,0,0
"Gregory","we",12,0,0,0,0,0,0,0,0
"Gregory","should",13,0,0,0,0,0,0,0,0
"Gregory","be",14,0,0,0,0,0,0,0,0
"Gregory","colliers.",15,0,0,0,0,0,0,0,0
"Sampson","I",16,0,0,0,0,0,0,0,0
"Sampson","mean,",17,0,0,0,0,0,0,0,0
"Sampson","an",18,0,0,0,0,0,0,0,0
"Sampson","we",19,0,0,0,0,0,0,0,0
"Sampson","be",20,0,0,0,0,0,0,0,0
"Sampson","in",21,0,0,0,0,0,0,0,0
"Sampson","choler,",22,0,0,0,0,0,0,0,0
"Sampson","we'll",23,0,0,0,0,0,0,0,0
"Sampson","draw.",24,0,0,0,0,0,0,0,0
"Gregory","Ay,",25,0,0,0,0,0,0,0,0
"Gregory","while",26,0,0,0,0,0,0,0,0
"Gregory","you",27,0,0,0,0,0,0,0,0
"Gregory","live,",28,0,0,0,0,0,0,0,0
"Gregory","draw",29,0,0,0,0,0,0,0,0
"Gregory","your",30,0,0,0,0,0,0,0,0
"Gregory","neck",31,0,0,0,0,0,0,0,0
"Gregory","out",32,0,0,0,0,0,0,0,0
"Gregory","o",33,0,0,0,0,0,0,0,0
"Gregory","the",34,0,0,0,0,0,0,0,0
"Gregory","collar.",35,0,0,0,0,0,0,0,0
"Sampson","I",36,0,0,0,0,0,0,0,0
"Sampson","strike",37,0,0,0,0,0,0,0,0
"Sampson","quickly,",38,0,0,0,0,0,0,0,0
"Sampson","being",39,0,0,0,0,0,0,0,0
"Sampson","moved.",40,0,0,0,0,0,0,0,0
"Gregory","But",41,0,0,0,0,0,0,0,0
